




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	upload_1 (Mus musculus)
Reference List:	mouse_background.txt (Mus musculus)	There are duplicate IDs in the file. The unique set of IDs will be used.
Test Type:	BINOMIAL
Correction:	NONE
GO biological process complete	mouse_background.txt - REFLIST (18060)	upload_1 (4777)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
regulation of Ras protein signal transduction (GO:0046578)	189	50	49.99	+	1.00	5.19E-01
response to virus (GO:0009615)	242	64	64.01	-	1.00	5.33E-01
negative regulation of neuron differentiation (GO:0045665)	87	23	23.01	-	1.00	5.54E-01
response to other organism (GO:0051707)	1128	298	298.36	-	1.00	5.07E-01
regulation of cAMP-mediated signaling (GO:0043949)	53	14	14.02	-	1.00	5.68E-01
antigen processing and presentation of peptide antigen (GO:0048002)	53	14	14.02	-	1.00	5.68E-01
negative regulation of hemopoiesis (GO:1903707)	106	28	28.04	-	1.00	5.47E-01
central nervous system neuron differentiation (GO:0021953)	212	56	56.08	-	1.00	5.31E-01
brain development (GO:0007420)	627	165	165.85	-	.99	4.94E-01
lymphocyte mediated immunity (GO:0002449)	133	35	35.18	-	.99	5.33E-01
activation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0006919)	76	20	20.10	-	.99	5.50E-01
regulation of integrin activation (GO:0033623)	19	5	5.03	-	.99	6.11E-01
Golgi to vacuole transport (GO:0006896)	19	5	5.03	-	.99	6.11E-01
specification of animal organ identity (GO:0010092)	19	5	5.03	-	.99	6.11E-01
manganese ion transport (GO:0006828)	19	5	5.03	-	.99	6.11E-01
corpus callosum development (GO:0022038)	19	5	5.03	-	.99	6.11E-01
hindbrain morphogenesis (GO:0021575)	57	15	15.08	-	.99	5.60E-01
mast cell activation involved in immune response (GO:0002279)	19	5	5.03	-	.99	6.11E-01
nephron tubule formation (GO:0072079)	19	5	5.03	-	.99	6.11E-01
positive regulation of interleukin-8 production (GO:0032757)	57	15	15.08	-	.99	5.60E-01
tRNA wobble base modification (GO:0002097)	19	5	5.03	-	.99	6.11E-01
melanosome organization (GO:0032438)	19	5	5.03	-	.99	6.11E-01
mitochondrial electron transport, NADH to ubiquinone (GO:0006120)	19	5	5.03	-	.99	6.11E-01
intracellular sterol transport (GO:0032366)	19	5	5.03	-	.99	6.11E-01
regulation of synaptic transmission, GABAergic (GO:0032228)	38	10	10.05	-	.99	5.77E-01
sodium ion import across plasma membrane (GO:0098719)	19	5	5.03	-	.99	6.11E-01
regulation of response to food (GO:0032095)	19	5	5.03	-	.99	6.11E-01
plasma membrane phospholipid scrambling (GO:0017121)	19	5	5.03	-	.99	6.11E-01
mast cell degranulation (GO:0043303)	19	5	5.03	-	.99	6.11E-01
retinal ganglion cell axon guidance (GO:0031290)	19	5	5.03	-	.99	6.11E-01
inositol phosphate-mediated signaling (GO:0048016)	19	5	5.03	-	.99	6.11E-01
purine ribonucleotide transport (GO:0015868)	19	5	5.03	-	.99	6.11E-01
ceramide catabolic process (GO:0046514)	19	5	5.03	-	.99	6.11E-01
NAD metabolic process (GO:0019674)	19	5	5.03	-	.99	6.11E-01
myeloid leukocyte migration (GO:0097529)	118	31	31.21	-	.99	5.32E-01
regulation of antigen receptor-mediated signaling pathway (GO:0050854)	61	16	16.13	-	.99	5.53E-01
inorganic ion transmembrane transport (GO:0098660)	469	123	124.05	-	.99	4.86E-01
anatomical structure maturation (GO:0071695)	225	59	59.51	-	.99	5.08E-01
protein-DNA complex subunit organization (GO:0071824)	145	38	38.35	-	.99	5.20E-01
positive regulation of cytosolic calcium ion concentration (GO:0007204)	290	76	76.71	-	.99	4.98E-01
regulation of Notch signaling pathway (GO:0008593)	84	22	22.22	-	.99	5.38E-01
regulation of endopeptidase activity (GO:0052548)	325	85	85.96	-	.99	4.87E-01
positive regulation of neural precursor cell proliferation (GO:2000179)	65	17	17.19	-	.99	5.45E-01
muscle tissue development (GO:0060537)	333	87	88.08	-	.99	4.82E-01
chromatin remodeling (GO:0006338)	134	35	35.44	-	.99	5.15E-01
chemotaxis (GO:0006935)	471	123	124.58	-	.99	4.67E-01
reproductive process (GO:0022414)	1325	346	350.47	-	.99	4.16E-01
reproduction (GO:0000003)	1326	346	350.74	-	.99	4.10E-01
regulation of bicellular tight junction assembly (GO:2000810)	23	6	6.08	-	.99	5.93E-01
behavioral defense response (GO:0002209)	46	12	12.17	-	.99	5.57E-01
defense response to symbiont (GO:0140546)	184	48	48.67	-	.99	5.00E-01
regulation of chromatin assembly or disassembly (GO:0001672)	23	6	6.08	-	.99	5.93E-01
branching involved in ureteric bud morphogenesis (GO:0001658)	46	12	12.17	-	.99	5.57E-01
muscle cell proliferation (GO:0033002)	23	6	6.08	-	.99	5.93E-01
defense response to virus (GO:0051607)	184	48	48.67	-	.99	5.00E-01
positive regulation of protein localization to cell surface (GO:2000010)	23	6	6.08	-	.99	5.93E-01
positive regulation of branching involved in ureteric bud morphogenesis (GO:0090190)	23	6	6.08	-	.99	5.93E-01
hormone transport (GO:0009914)	92	24	24.33	-	.99	5.27E-01
positive regulation of skeletal muscle tissue development (GO:0048643)	23	6	6.08	-	.99	5.93E-01
negative regulation of NIK/NF-kappaB signaling (GO:1901223)	23	6	6.08	-	.99	5.93E-01
protein sumoylation (GO:0016925)	23	6	6.08	-	.99	5.93E-01
maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000466)	23	6	6.08	-	.99	5.93E-01
DNA integrity checkpoint signaling (GO:0031570)	92	24	24.33	-	.99	5.27E-01
negative regulation of I-kappaB kinase/NF-kappaB signaling (GO:0043124)	46	12	12.17	-	.99	5.57E-01
regulation of receptor binding (GO:1900120)	23	6	6.08	-	.99	5.93E-01
positive regulation of protein processing (GO:0010954)	23	6	6.08	-	.99	5.93E-01
positive regulation of glucose metabolic process (GO:0010907)	46	12	12.17	-	.99	5.57E-01
granulocyte migration (GO:0097530)	92	24	24.33	-	.99	5.27E-01
regulation of macrophage derived foam cell differentiation (GO:0010743)	23	6	6.08	-	.99	5.93E-01
endocardial cushion formation (GO:0003272)	23	6	6.08	-	.99	5.93E-01
plasma lipoprotein particle remodeling (GO:0034369)	23	6	6.08	-	.99	5.93E-01
protein-lipid complex remodeling (GO:0034368)	23	6	6.08	-	.99	5.93E-01
mitochondrial respiratory chain complex assembly (GO:0033108)	69	18	18.25	-	.99	5.39E-01
negative regulation of NF-kappaB transcription factor activity (GO:0032088)	69	18	18.25	-	.99	5.39E-01
taxis (GO:0042330)	476	124	125.91	-	.98	4.55E-01
cognition (GO:0050890)	334	87	88.35	-	.98	4.71E-01
positive regulation of T cell differentiation (GO:0045582)	96	25	25.39	-	.98	5.22E-01
positive regulation of immune response (GO:0050778)	457	119	120.88	-	.98	4.55E-01
positive regulation of chemokine production (GO:0032722)	73	19	19.31	-	.98	5.32E-01
inorganic cation transmembrane transport (GO:0098662)	415	108	109.77	-	.98	4.57E-01
intrinsic apoptotic signaling pathway by p53 class mediator (GO:0072332)	50	13	13.23	-	.98	5.48E-01
negative regulation of extrinsic apoptotic signaling pathway (GO:2001237)	100	26	26.45	-	.98	5.17E-01
unsaturated fatty acid metabolic process (GO:0033559)	100	26	26.45	-	.98	5.17E-01
negative regulation of reactive oxygen species metabolic process (GO:2000378)	50	13	13.23	-	.98	5.48E-01
cellular component assembly involved in morphogenesis (GO:0010927)	100	26	26.45	-	.98	5.17E-01
cellular response to calcium ion (GO:0071277)	77	20	20.37	-	.98	5.26E-01
neuromuscular synaptic transmission (GO:0007274)	27	7	7.14	-	.98	5.78E-01
positive regulation of natural killer cell activation (GO:0032816)	27	7	7.14	-	.98	5.78E-01
positive regulation of neuroblast proliferation (GO:0002052)	27	7	7.14	-	.98	5.78E-01
protein K11-linked ubiquitination (GO:0070979)	27	7	7.14	-	.98	5.78E-01
cellular senescence (GO:0090398)	27	7	7.14	-	.98	5.78E-01
regulation of meiotic cell cycle (GO:0051445)	54	14	14.28	-	.98	5.40E-01
maturation of LSU-rRNA (GO:0000470)	27	7	7.14	-	.98	5.78E-01
negative regulation of lipid biosynthetic process (GO:0051055)	54	14	14.28	-	.98	5.40E-01
positive regulation of dendrite extension (GO:1903861)	27	7	7.14	-	.98	5.78E-01
protein localization to cilium (GO:0061512)	54	14	14.28	-	.98	5.40E-01
striated muscle adaptation (GO:0014888)	27	7	7.14	-	.98	5.78E-01
cell killing (GO:0001906)	81	21	21.43	-	.98	5.21E-01
negative regulation of cysteine-type endopeptidase activity (GO:2000117)	81	21	21.43	-	.98	5.21E-01
central nervous system development (GO:0007417)	845	219	223.51	-	.98	3.95E-01
positive regulation of lymphocyte differentiation (GO:0045621)	112	29	29.62	-	.98	5.03E-01
regulation of multicellular organism growth (GO:0040014)	85	22	22.48	-	.98	5.15E-01
T cell receptor signaling pathway (GO:0050852)	85	22	22.48	-	.98	5.15E-01
RNA export from nucleus (GO:0006405)	58	15	15.34	-	.98	5.33E-01
positive regulation of regulated secretory pathway (GO:1903307)	58	15	15.34	-	.98	5.33E-01
developmental process involved in reproduction (GO:0003006)	921	238	243.61	-	.98	3.72E-01
adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains (GO:0002460)	155	40	41.00	-	.98	4.79E-01
vesicle targeting (GO:0006903)	31	8	8.20	-	.98	5.65E-01
negative regulation of organic acid transport (GO:0032891)	31	8	8.20	-	.98	5.65E-01
ovarian follicle development (GO:0001541)	62	16	16.40	-	.98	5.26E-01
aorta morphogenesis (GO:0035909)	31	8	8.20	-	.98	5.65E-01
regulation of dendrite extension (GO:1903859)	31	8	8.20	-	.98	5.65E-01
rhythmic behavior (GO:0007622)	31	8	8.20	-	.98	5.65E-01
regulation of T cell cytokine production (GO:0002724)	31	8	8.20	-	.98	5.65E-01
regulation of BMP signaling pathway (GO:0030510)	97	25	25.66	-	.97	5.01E-01
regulation of nitric oxide biosynthetic process (GO:0045428)	66	17	17.46	-	.97	5.20E-01
lymphocyte homeostasis (GO:0002260)	66	17	17.46	-	.97	5.20E-01
cell-cell signaling (GO:0007267)	796	205	210.55	-	.97	3.65E-01
axon guidance (GO:0007411)	233	60	61.63	-	.97	4.50E-01
skin development (GO:0043588)	237	61	62.69	-	.97	4.48E-01
regulation of nuclear division (GO:0051783)	136	35	35.97	-	.97	4.79E-01
regulation of mitotic nuclear division (GO:0007088)	105	27	27.77	-	.97	4.92E-01
oligodendrocyte differentiation (GO:0048709)	70	18	18.52	-	.97	5.14E-01
negative regulation of T cell proliferation (GO:0042130)	70	18	18.52	-	.97	5.14E-01
cell proliferation in forebrain (GO:0021846)	35	9	9.26	-	.97	5.53E-01
hair cycle (GO:0042633)	109	28	28.83	-	.97	4.88E-01
molting cycle (GO:0042303)	109	28	28.83	-	.97	4.88E-01
signal transduction by p53 class mediator (GO:0072331)	74	19	19.57	-	.97	5.08E-01
immune response-regulating cell surface receptor signaling pathway (GO:0002768)	152	39	40.21	-	.97	4.66E-01
negative regulation of calcium ion transmembrane transport (GO:1903170)	39	10	10.32	-	.97	5.44E-01
regulation of mast cell activation involved in immune response (GO:0033006)	39	10	10.32	-	.97	5.44E-01
peptidyl-cysteine modification (GO:0018198)	39	10	10.32	-	.97	5.44E-01
negative regulation of sequestering of calcium ion (GO:0051283)	39	10	10.32	-	.97	5.44E-01
neuron projection guidance (GO:0097485)	234	60	61.89	-	.97	4.37E-01
potassium ion transport (GO:0006813)	160	41	42.32	-	.97	4.59E-01
regulation of leukocyte mediated immunity (GO:0002703)	242	62	64.01	-	.97	4.32E-01
neurotransmitter secretion (GO:0007269)	82	21	21.69	-	.97	4.98E-01
signal release from synapse (GO:0099643)	82	21	21.69	-	.97	4.98E-01
embryonic organ development (GO:0048568)	492	126	130.14	-	.97	3.78E-01
oligodendrocyte development (GO:0014003)	43	11	11.37	-	.97	5.35E-01
cellular response to retinoic acid (GO:0071300)	43	11	11.37	-	.97	5.35E-01
regulation of calcium ion-dependent exocytosis (GO:0017158)	43	11	11.37	-	.97	5.35E-01
spliceosomal complex assembly (GO:0000245)	43	11	11.37	-	.97	5.35E-01
G2/M transition of mitotic cell cycle (GO:0000086)	43	11	11.37	-	.97	5.35E-01
DNA damage checkpoint signaling (GO:0000077)	86	22	22.75	-	.97	4.93E-01
regulation of immune effector process (GO:0002697)	356	91	94.16	-	.97	3.97E-01
potassium ion transmembrane transport (GO:0071805)	137	35	36.24	-	.97	4.62E-01
response to bacterium (GO:0009617)	607	155	160.56	-	.97	3.46E-01
heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules (GO:0007157)	47	12	12.43	-	.97	5.27E-01
walking behavior (GO:0090659)	47	12	12.43	-	.97	5.27E-01
bone mineralization (GO:0030282)	47	12	12.43	-	.97	5.27E-01
cranial nerve development (GO:0021545)	51	13	13.49	-	.96	5.19E-01
negative regulation of gliogenesis (GO:0014014)	51	13	13.49	-	.96	5.19E-01
negative regulation of lymphocyte activation (GO:0051250)	157	40	41.53	-	.96	4.46E-01
positive regulation of dephosphorylation (GO:0035306)	55	14	14.55	-	.96	5.12E-01
synaptic vesicle exocytosis (GO:0016079)	55	14	14.55	-	.96	5.12E-01
JNK cascade (GO:0007254)	59	15	15.61	-	.96	5.06E-01
striated muscle tissue development (GO:0014706)	315	80	83.32	-	.96	3.84E-01
glutathione metabolic process (GO:0006749)	63	16	16.66	-	.96	5.00E-01
ventricular cardiac muscle tissue development (GO:0003229)	63	16	16.66	-	.96	5.00E-01
positive regulation of T cell mediated immunity (GO:0002711)	63	16	16.66	-	.96	5.00E-01
embryonic digit morphogenesis (GO:0042733)	67	17	17.72	-	.96	4.95E-01
cytokine-mediated signaling pathway (GO:0019221)	272	69	71.95	-	.96	3.92E-01
positive regulation of NF-kappaB transcription factor activity (GO:0051092)	142	36	37.56	-	.96	4.41E-01
pattern recognition receptor signaling pathway (GO:0002221)	75	19	19.84	-	.96	4.85E-01
regulation of viral genome replication (GO:0045069)	75	19	19.84	-	.96	4.85E-01
regulation of immune response (GO:0050776)	695	176	183.83	-	.96	2.93E-01
digestion (GO:0007586)	83	21	21.95	-	.96	4.75E-01
learning (GO:0007612)	178	45	47.08	-	.96	4.17E-01
negative regulation of lipid metabolic process (GO:0045833)	99	25	26.19	-	.95	4.59E-01
mesoderm development (GO:0007498)	107	27	28.30	-	.95	4.52E-01
negative regulation of immune system process (GO:0002683)	425	107	112.42	-	.95	3.24E-01
immune effector process (GO:0002252)	310	78	82.00	-	.95	3.54E-01
signal release (GO:0023061)	171	43	45.23	-	.95	4.07E-01
positive regulation of leukocyte differentiation (GO:1902107)	175	44	46.29	-	.95	4.05E-01
positive regulation of hemopoiesis (GO:1903708)	175	44	46.29	-	.95	4.05E-01
T cell differentiation (GO:0030217)	175	44	46.29	-	.95	4.05E-01
DNA recombination (GO:0006310)	187	47	49.46	-	.95	3.98E-01
sensory perception of mechanical stimulus (GO:0050954)	191	48	50.52	-	.95	3.96E-01
negative regulation of defense response (GO:0031348)	215	54	56.87	-	.95	3.83E-01
sensory organ morphogenesis (GO:0090596)	299	75	79.09	-	.95	3.48E-01
negative regulation of chromosome organization (GO:2001251)	72	18	19.04	-	.95	4.65E-01
negative regulation of leukocyte cell-cell adhesion (GO:1903038)	132	33	34.91	-	.95	4.15E-01
regulation of peptidyl-lysine acetylation (GO:2000756)	68	17	17.99	-	.95	4.70E-01
peptidyl-lysine methylation (GO:0018022)	68	17	17.99	-	.95	4.70E-01
embryonic eye morphogenesis (GO:0048048)	36	9	9.52	-	.95	5.19E-01
non-canonical Wnt signaling pathway (GO:0035567)	36	9	9.52	-	.95	5.19E-01
determination of heart left/right asymmetry (GO:0061371)	68	17	17.99	-	.95	4.70E-01
dendritic cell differentiation (GO:0097028)	36	9	9.52	-	.95	5.19E-01
positive regulation of intestinal cholesterol absorption (GO:0045797)	4	1	1.06	-	.95	7.14E-01
positive regulation of germinal center formation (GO:0002636)	4	1	1.06	-	.95	7.14E-01
beta-alanine metabolic process (GO:0019482)	4	1	1.06	-	.95	7.14E-01
striatal medium spiny neuron differentiation (GO:0021773)	4	1	1.06	-	.95	7.14E-01
embryonic skeletal joint development (GO:0072498)	16	4	4.23	-	.95	5.84E-01
negative regulation of forebrain neuron differentiation (GO:2000978)	4	1	1.06	-	.95	7.14E-01
lobar bronchus epithelium development (GO:0060481)	4	1	1.06	-	.95	7.14E-01
left lung development (GO:0060459)	4	1	1.06	-	.95	7.14E-01
bud outgrowth involved in lung branching (GO:0060447)	4	1	1.06	-	.95	7.14E-01
glycerol-3-phosphate biosynthetic process (GO:0046167)	4	1	1.06	-	.95	7.14E-01
activation of protein kinase A activity (GO:0034199)	4	1	1.06	-	.95	7.14E-01
triglyceride transport (GO:0034197)	4	1	1.06	-	.95	7.14E-01
acylglycerol transport (GO:0034196)	4	1	1.06	-	.95	7.14E-01
positive regulation of maintenance of mitotic sister chromatid cohesion (GO:0034184)	4	1	1.06	-	.95	7.14E-01
aorta smooth muscle tissue morphogenesis (GO:0060414)	4	1	1.06	-	.95	7.14E-01
positive regulation of vitamin metabolic process (GO:0046136)	4	1	1.06	-	.95	7.14E-01
pyrimidine deoxyribonucleoside metabolic process (GO:0046125)	4	1	1.06	-	.95	7.14E-01
negative regulation of toll-like receptor 4 signaling pathway (GO:0034144)	8	2	2.12	-	.95	6.45E-01
nitrobenzene metabolic process (GO:0018916)	4	1	1.06	-	.95	7.14E-01
toll-like receptor 2 signaling pathway (GO:0034134)	4	1	1.06	-	.95	7.14E-01
striated muscle contraction (GO:0006941)	104	26	27.51	-	.95	4.36E-01
homotypic cell-cell adhesion (GO:0034109)	44	11	11.64	-	.95	5.03E-01
positive regulation of tissue remodeling (GO:0034105)	8	2	2.12	-	.95	6.45E-01
phagocytosis, recognition (GO:0006910)	16	4	4.23	-	.95	5.84E-01
chronic inflammatory response (GO:0002544)	8	2	2.12	-	.95	6.45E-01
regulation of monocyte differentiation (GO:0045655)	16	4	4.23	-	.95	5.84E-01
negative regulation of megakaryocyte differentiation (GO:0045653)	4	1	1.06	-	.95	7.14E-01
compartment pattern specification (GO:0007386)	4	1	1.06	-	.95	7.14E-01
vestibulocochlear nerve formation (GO:0021650)	4	1	1.06	-	.95	7.14E-01
glossopharyngeal nerve morphogenesis (GO:0021615)	4	1	1.06	-	.95	7.14E-01
cranial suture morphogenesis (GO:0060363)	8	2	2.12	-	.95	6.45E-01
regulation of neuroblast proliferation (GO:1902692)	40	10	10.58	-	.95	5.11E-01
cytidine metabolic process (GO:0046087)	4	1	1.06	-	.95	7.14E-01
positive regulation of receptor localization to synapse (GO:1902685)	4	1	1.06	-	.95	7.14E-01
dUMP catabolic process (GO:0046079)	4	1	1.06	-	.95	7.14E-01
vesicle uncoating (GO:0072319)	8	2	2.12	-	.95	6.45E-01
dGTP metabolic process (GO:0046070)	4	1	1.06	-	.95	7.14E-01
glomerular epithelial cell development (GO:0072310)	8	2	2.12	-	.95	6.45E-01
negative regulation of mitotic sister chromatid separation (GO:2000816)	28	7	7.41	-	.95	5.38E-01
maintenance of mitotic sister chromatid cohesion (GO:0034088)	4	1	1.06	-	.95	7.14E-01
maintenance of sister chromatid cohesion (GO:0034086)	4	1	1.06	-	.95	7.14E-01
establishment of sister chromatid cohesion (GO:0034085)	4	1	1.06	-	.95	7.14E-01
calcium ion import into cytosol (GO:1902656)	16	4	4.23	-	.95	5.84E-01
odontoblast differentiation (GO:0071895)	4	1	1.06	-	.95	7.14E-01
regulation of T cell homeostatic proliferation (GO:0046013)	4	1	1.06	-	.95	7.14E-01
leukocyte apoptotic process (GO:0071887)	28	7	7.41	-	.95	5.38E-01
drug transmembrane transport (GO:0006855)	8	2	2.12	-	.95	6.45E-01
acyl carnitine transport (GO:0006844)	4	1	1.06	-	.95	7.14E-01
antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-independent (GO:0002486)	20	5	5.29	-	.95	5.65E-01
mRNA alternative polyadenylation (GO:0110104)	4	1	1.06	-	.95	7.14E-01
mast cell mediated immunity (GO:0002448)	20	5	5.29	-	.95	5.65E-01
response to iron(II) ion (GO:0010040)	4	1	1.06	-	.95	7.14E-01
mast cell activation (GO:0045576)	28	7	7.41	-	.95	5.38E-01
basophil activation (GO:0045575)	4	1	1.06	-	.95	7.14E-01
dorsal/ventral axon guidance (GO:0033563)	4	1	1.06	-	.95	7.14E-01
multicellular organismal response to stress (GO:0033555)	92	23	24.33	-	.95	4.46E-01
positive regulation of neuron migration (GO:2001224)	20	5	5.29	-	.95	5.65E-01
rhombomere 5 development (GO:0021571)	4	1	1.06	-	.95	7.14E-01
angiotensin-mediated vasoconstriction involved in regulation of systemic arterial blood pressure (GO:0001998)	4	1	1.06	-	.95	7.14E-01
regulation of systemic arterial blood pressure by hormone (GO:0001990)	40	10	10.58	-	.95	5.11E-01
oculomotor nerve development (GO:0021557)	4	1	1.06	-	.95	7.14E-01
medulla oblongata development (GO:0021550)	4	1	1.06	-	.95	7.14E-01
corpus callosum morphogenesis (GO:0021540)	8	2	2.12	-	.95	6.45E-01
metanephric nephron tubule formation (GO:0072289)	4	1	1.06	-	.95	7.14E-01
JUN phosphorylation (GO:0007258)	4	1	1.06	-	.95	7.14E-01
