




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	upload_1 (Neurospora crassa)
Reference List:	neurospora_background.txt (Neurospora crassa)
Test Type:	BINOMIAL
Correction:	NONE
GO biological process complete	neurospora_background.txt - REFLIST (9012)	upload_1 (2982)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
negative regulation of translation (GO:0017148)	28	4	9.26	-	.43	4.64E-02
error-prone translesion synthesis (GO:0042276)	7	1	2.32	-	.43	3.27E-01
negative regulation of protein-containing complex assembly (GO:0031333)	7	1	2.32	-	.43	3.27E-01
regulation of lipid metabolic process (GO:0019216)	7	1	2.32	-	.43	3.27E-01
peptidyl-serine phosphorylation (GO:0018105)	28	4	9.26	-	.43	4.64E-02
negative regulation of actin filament polymerization (GO:0030837)	7	1	2.32	-	.43	3.27E-01
lysine biosynthetic process via aminoadipic acid (GO:0019878)	7	1	2.32	-	.43	3.27E-01
protoporphyrinogen IX biosynthetic process (GO:0006782)	7	1	2.32	-	.43	3.27E-01
protoporphyrinogen IX metabolic process (GO:0046501)	7	1	2.32	-	.43	3.27E-01
nuclear polyadenylation-dependent tRNA catabolic process (GO:0071038)	7	1	2.32	-	.43	3.27E-01
intracellular pH reduction (GO:0051452)	7	1	2.32	-	.43	3.27E-01
chitin biosynthetic process (GO:0006031)	7	1	2.32	-	.43	3.27E-01
phosphatidylcholine metabolic process (GO:0046470)	7	1	2.32	-	.43	3.27E-01
protein localization to phagophore assembly site (GO:0034497)	7	1	2.32	-	.43	3.27E-01
phospholipid translocation (GO:0045332)	7	1	2.32	-	.43	3.27E-01
chorismate metabolic process (GO:0046417)	7	1	2.32	-	.43	3.27E-01
negative regulation of protein polymerization (GO:0032272)	7	1	2.32	-	.43	3.27E-01
tRNA surveillance (GO:0106354)	7	1	2.32	-	.43	3.27E-01
mitotic G2/M transition checkpoint (GO:0044818)	14	2	4.63	-	.43	1.59E-01
late nucleophagy (GO:0044805)	7	1	2.32	-	.43	3.27E-01
nuclear cell cycle DNA replication initiation (GO:1902315)	7	1	2.32	-	.43	3.27E-01
monovalent inorganic cation homeostasis (GO:0055067)	14	2	4.63	-	.43	1.59E-01
vacuolar acidification (GO:0007035)	7	1	2.32	-	.43	3.27E-01
mitotic DNA replication initiation (GO:1902975)	7	1	2.32	-	.43	3.27E-01
negative regulation of chromosome organization (GO:2001251)	14	2	4.63	-	.43	1.59E-01
threonine metabolic process (GO:0006566)	7	1	2.32	-	.43	3.27E-01
RNA phosphodiester bond hydrolysis, exonucleolytic (GO:0090503)	21	3	6.95	-	.43	8.42E-02
regulation of cell cycle process (GO:0010564)	85	12	28.13	-	.43	5.00E-04
protein acetylation (GO:0006473)	43	6	14.23	-	.42	1.22E-02
regulation of chromosome organization (GO:0033044)	43	6	14.23	-	.42	1.22E-02
mitotic cell cycle checkpoint signaling (GO:0007093)	36	5	11.91	-	.42	2.13E-02
peptidyl-serine modification (GO:0018209)	29	4	9.60	-	.42	3.77E-02
maintenance of location (GO:0051235)	22	3	7.28	-	.41	6.81E-02
chromosome segregation (GO:0007059)	81	11	26.80	-	.41	4.61E-04
negative regulation of mitotic cell cycle (GO:0045930)	37	5	12.24	-	.41	1.73E-02
mitotic DNA damage checkpoint signaling (GO:0044773)	15	2	4.96	-	.40	1.28E-01
positive regulation of DNA-templated transcription, elongation (GO:0032786)	15	2	4.96	-	.40	1.28E-01
negative regulation of G2/M transition of mitotic cell cycle (GO:0010972)	15	2	4.96	-	.40	1.28E-01
positive regulation of GTPase activity (GO:0043547)	15	2	4.96	-	.40	1.28E-01
negative regulation of cell cycle G2/M phase transition (GO:1902750)	15	2	4.96	-	.40	1.28E-01
regulation of mitotic cell cycle (GO:0007346)	60	8	19.85	-	.40	2.23E-03
intra-Golgi vesicle-mediated transport (GO:0006891)	23	3	7.61	-	.39	5.48E-02
autophagosome organization (GO:1905037)	23	3	7.61	-	.39	5.48E-02
autophagosome assembly (GO:0000045)	23	3	7.61	-	.39	5.48E-02
cysteine metabolic process (GO:0006534)	16	2	5.29	-	.38	1.02E-01
polyadenylation-dependent ncRNA catabolic process (GO:0043634)	8	1	2.65	-	.38	2.58E-01
polyadenylation-dependent RNA catabolic process (GO:0043633)	8	1	2.65	-	.38	2.58E-01
nucleoside biosynthetic process (GO:0009163)	8	1	2.65	-	.38	2.58E-01
RNA destabilization (GO:0050779)	24	3	7.94	-	.38	4.39E-02
regulation of mitotic sister chromatid separation (GO:0010965)	24	3	7.94	-	.38	4.39E-02
ribonucleoside biosynthetic process (GO:0042455)	8	1	2.65	-	.38	2.58E-01
exonucleolytic trimming involved in rRNA processing (GO:0000459)	8	1	2.65	-	.38	2.58E-01
mitotic recombination (GO:0006312)	8	1	2.65	-	.38	2.58E-01
vesicle fusion (GO:0006906)	24	3	7.94	-	.38	4.39E-02
mitotic spindle assembly (GO:0090307)	8	1	2.65	-	.38	2.58E-01
maintenance of location in cell (GO:0051651)	16	2	5.29	-	.38	1.02E-01
fatty acid oxidation (GO:0019395)	16	2	5.29	-	.38	1.02E-01
DNA duplex unwinding (GO:0032508)	32	4	10.59	-	.38	1.97E-02
establishment or maintenance of cytoskeleton polarity (GO:0030952)	8	1	2.65	-	.38	2.58E-01
protein localization to Golgi apparatus (GO:0034067)	8	1	2.65	-	.38	2.58E-01
nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay (GO:0000288)	24	3	7.94	-	.38	4.39E-02
regulation of chromosome separation (GO:1905818)	24	3	7.94	-	.38	4.39E-02
negative regulation of organelle organization (GO:0010639)	24	3	7.94	-	.38	4.39E-02
selective autophagy (GO:0061912)	8	1	2.65	-	.38	2.58E-01
proteasome assembly (GO:0043248)	16	2	5.29	-	.38	1.02E-01
nuclear polyadenylation-dependent ncRNA catabolic process (GO:0071046)	8	1	2.65	-	.38	2.58E-01
DNA geometric change (GO:0032392)	32	4	10.59	-	.38	1.97E-02
nuclear polyadenylation-dependent rRNA catabolic process (GO:0071035)	8	1	2.65	-	.38	2.58E-01
nuclear ncRNA surveillance (GO:0071029)	8	1	2.65	-	.38	2.58E-01
mRNA destabilization (GO:0061157)	24	3	7.94	-	.38	4.39E-02
fatty acid beta-oxidation (GO:0006635)	16	2	5.29	-	.38	1.02E-01
kinetochore assembly (GO:0051382)	8	1	2.65	-	.38	2.58E-01
G1/S transition of mitotic cell cycle (GO:0000082)	8	1	2.65	-	.38	2.58E-01
cell cycle G1/S phase transition (GO:0044843)	8	1	2.65	-	.38	2.58E-01
methylguanosine-cap decapping (GO:0110156)	8	1	2.65	-	.38	2.58E-01
plasma membrane organization (GO:0007009)	8	1	2.65	-	.38	2.58E-01
negative regulation of supramolecular fiber organization (GO:1902904)	8	1	2.65	-	.38	2.58E-01
nuclear chromosome segregation (GO:0098813)	65	8	21.51	-	.37	7.71E-04
double-strand break repair (GO:0006302)	66	8	21.84	-	.37	6.20E-04
protein modification by small protein removal (GO:0070646)	33	4	10.92	-	.37	1.58E-02
regulation of sister chromatid segregation (GO:0033045)	25	3	8.27	-	.36	3.50E-02
regulation of mitotic cell cycle phase transition (GO:1901990)	50	6	16.54	-	.36	2.74E-03
poly(A)+ mRNA export from nucleus (GO:0016973)	17	2	5.63	-	.36	8.07E-02
regulation of DNA-templated transcription, elongation (GO:0032784)	17	2	5.63	-	.36	8.07E-02
attachment of spindle microtubules to kinetochore (GO:0008608)	17	2	5.63	-	.36	8.07E-02
lipid oxidation (GO:0034440)	17	2	5.63	-	.36	8.07E-02
mRNA 3'-end processing (GO:0031124)	17	2	5.63	-	.36	8.07E-02
organelle membrane fusion (GO:0090174)	26	3	8.60	-	.35	2.79E-02
cellular response to environmental stimulus (GO:0104004)	18	2	5.96	-	.34	6.38E-02
macroautophagy (GO:0016236)	36	4	11.91	-	.34	7.99E-03
phosphatidylinositol dephosphorylation (GO:0046856)	9	1	2.98	-	.34	2.02E-01
regulation of mRNA processing (GO:0050684)	9	1	2.98	-	.34	2.02E-01
chromosome organization involved in meiotic cell cycle (GO:0070192)	9	1	2.98	-	.34	2.02E-01
nuclear envelope organization (GO:0006998)	9	1	2.98	-	.34	2.02E-01
cellular response to abiotic stimulus (GO:0071214)	18	2	5.96	-	.34	6.38E-02
regulation of DNA-dependent DNA replication (GO:0090329)	9	1	2.98	-	.34	2.02E-01
regulation of DNA replication (GO:0006275)	9	1	2.98	-	.34	2.02E-01
translesion synthesis (GO:0019985)	9	1	2.98	-	.34	2.02E-01
spindle assembly checkpoint signaling (GO:0071173)	9	1	2.98	-	.34	2.02E-01
purine nucleoside metabolic process (GO:0042278)	9	1	2.98	-	.34	2.02E-01
regulation of pH (GO:0006885)	9	1	2.98	-	.34	2.02E-01
histone H4 acetylation (GO:0043967)	9	1	2.98	-	.34	2.02E-01
response to UV (GO:0009411)	9	1	2.98	-	.34	2.02E-01
nuclear mRNA surveillance (GO:0071028)	18	2	5.96	-	.34	6.38E-02
nuclear RNA surveillance (GO:0071027)	18	2	5.96	-	.34	6.38E-02
negative regulation of cytoskeleton organization (GO:0051494)	9	1	2.98	-	.34	2.02E-01
regulation of intracellular pH (GO:0051453)	9	1	2.98	-	.34	2.02E-01
positive regulation of cell cycle process (GO:0090068)	18	2	5.96	-	.34	6.38E-02
kinetochore organization (GO:0051383)	9	1	2.98	-	.34	2.02E-01
mitotic spindle assembly checkpoint signaling (GO:0007094)	9	1	2.98	-	.34	2.02E-01
RNA decapping (GO:0110154)	9	1	2.98	-	.34	2.02E-01
regulation of cellular pH (GO:0030641)	9	1	2.98	-	.34	2.02E-01
L-serine metabolic process (GO:0006563)	9	1	2.98	-	.34	2.02E-01
regulation of chromosome segregation (GO:0051983)	28	3	9.26	-	.32	1.75E-02
RNA surveillance (GO:0071025)	19	2	6.29	-	.32	5.02E-02
negative regulation of mitotic cell cycle phase transition (GO:1901991)	29	3	9.60	-	.31	1.38E-02
mitotic DNA integrity checkpoint signaling (GO:0044774)	20	2	6.62	-	.30	3.93E-02
negative regulation of mitotic metaphase/anaphase transition (GO:0045841)	10	1	3.31	-	.30	1.57E-01
negative regulation of mitotic nuclear division (GO:0045839)	10	1	3.31	-	.30	1.57E-01
lysine biosynthetic process (GO:0009085)	10	1	3.31	-	.30	1.57E-01
negative regulation of metaphase/anaphase transition of cell cycle (GO:1902100)	10	1	3.31	-	.30	1.57E-01
phosphorylation of RNA polymerase II C-terminal domain (GO:0070816)	10	1	3.31	-	.30	1.57E-01
negative regulation of mitotic sister chromatid segregation (GO:0033048)	10	1	3.31	-	.30	1.57E-01
negative regulation of sister chromatid segregation (GO:0033046)	10	1	3.31	-	.30	1.57E-01
establishment of vesicle localization (GO:0051650)	10	1	3.31	-	.30	1.57E-01
vesicle localization (GO:0051648)	10	1	3.31	-	.30	1.57E-01
tetrahydrofolate metabolic process (GO:0046653)	10	1	3.31	-	.30	1.57E-01
post-Golgi vesicle-mediated transport (GO:0006892)	30	3	9.93	-	.30	1.08E-02
positive regulation of transcription initiation from RNA polymerase II promoter (GO:0060261)	10	1	3.31	-	.30	1.57E-01
negative regulation of chromosome separation (GO:1905819)	10	1	3.31	-	.30	1.57E-01
vesicle-mediated transport to the plasma membrane (GO:0098876)	20	2	6.62	-	.30	3.93E-02
mitotic DNA replication checkpoint signaling (GO:0033314)	10	1	3.31	-	.30	1.57E-01
negative regulation of mitotic sister chromatid separation (GO:2000816)	10	1	3.31	-	.30	1.57E-01
regulation of mitotic nuclear division (GO:0007088)	20	2	6.62	-	.30	3.93E-02
negative regulation of chromosome segregation (GO:0051985)	10	1	3.31	-	.30	1.57E-01
positive regulation of DNA-templated transcription, initiation (GO:2000144)	10	1	3.31	-	.30	1.57E-01
regulation of nuclear division (GO:0051783)	21	2	6.95	-	.29	3.07E-02
phosphatidylinositol phosphate biosynthetic process (GO:0046854)	11	1	3.64	-	.27	1.22E-01
negative regulation of nuclear division (GO:0051784)	11	1	3.64	-	.27	1.22E-01
regulation of transcription initiation from RNA polymerase II promoter (GO:0060260)	11	1	3.64	-	.27	1.22E-01
anatomical structure homeostasis (GO:0060249)	22	2	7.28	-	.27	2.39E-02
spliceosomal complex assembly (GO:0000245)	11	1	3.64	-	.27	1.22E-01
telomere maintenance (GO:0000723)	22	2	7.28	-	.27	2.39E-02
telomere organization (GO:0032200)	22	2	7.28	-	.27	2.39E-02
regulation of vesicle-mediated transport (GO:0060627)	11	1	3.64	-	.27	1.22E-01
regulation of DNA-templated transcription, initiation (GO:2000142)	11	1	3.64	-	.27	1.22E-01
lysine metabolic process (GO:0006553)	11	1	3.64	-	.27	1.22E-01
internal protein amino acid acetylation (GO:0006475)	34	3	11.25	-	.27	4.02E-03
peptidyl-lysine acetylation (GO:0018394)	34	3	11.25	-	.27	4.02E-03
internal peptidyl-lysine acetylation (GO:0018393)	34	3	11.25	-	.27	4.02E-03
histone acetylation (GO:0016573)	34	3	11.25	-	.27	4.02E-03
regulation of metaphase/anaphase transition of cell cycle (GO:1902099)	23	2	7.61	-	.26	1.85E-02
regulation of mitotic metaphase/anaphase transition (GO:0030071)	23	2	7.61	-	.26	1.85E-02
spindle checkpoint signaling (GO:0031577)	12	1	3.97	-	.25	9.36E-02
mitotic spindle checkpoint signaling (GO:0071174)	12	1	3.97	-	.25	9.36E-02
DNA synthesis involved in DNA repair (GO:0000731)	12	1	3.97	-	.25	9.36E-02
reproductive process in single-celled organism (GO:0022413)	12	1	3.97	-	.25	9.36E-02
activation of GTPase activity (GO:0090630)	12	1	3.97	-	.25	9.36E-02
mitotic sister chromatid cohesion (GO:0007064)	12	1	3.97	-	.25	9.36E-02
DNA biosynthetic process (GO:0071897)	25	2	8.27	-	.24	1.10E-02
regulation of response to stress (GO:0080134)	13	1	4.30	-	.23	7.17E-02
purine-containing compound catabolic process (GO:0072523)	13	1	4.30	-	.23	7.17E-02
NADH dehydrogenase complex assembly (GO:0010257)	13	1	4.30	-	.23	7.17E-02
spliceosomal snRNP assembly (GO:0000387)	13	1	4.30	-	.23	7.17E-02
mitochondrial fission (GO:0000266)	13	1	4.30	-	.23	7.17E-02
protein import into peroxisome matrix (GO:0016558)	13	1	4.30	-	.23	7.17E-02
mitochondrial respiratory chain complex I assembly (GO:0032981)	13	1	4.30	-	.23	7.17E-02
positive regulation of mitotic cell cycle phase transition (GO:1901992)	13	1	4.30	-	.23	7.17E-02
positive regulation of cell cycle phase transition (GO:1901989)	13	1	4.30	-	.23	7.17E-02
DNA replication checkpoint signaling (GO:0000076)	13	1	4.30	-	.23	7.17E-02
positive regulation of mitotic cell cycle (GO:0045931)	13	1	4.30	-	.23	7.17E-02
membrane fusion (GO:0061025)	41	3	13.57	-	.22	6.58E-04
spindle assembly (GO:0051225)	14	1	4.63	-	.22	5.47E-02
transcription elongation from RNA polymerase II promoter (GO:0006368)	14	1	4.63	-	.22	5.47E-02
anaphase-promoting complex-dependent catabolic process (GO:0031145)	14	1	4.63	-	.22	5.47E-02
DNA-templated transcription, elongation (GO:0006354)	15	1	4.96	-	.20	4.16E-02
Golgi to plasma membrane transport (GO:0006893)	15	1	4.96	-	.20	4.16E-02
protein targeting to peroxisome (GO:0006625)	15	1	4.96	-	.20	4.16E-02
establishment of protein localization to peroxisome (GO:0072663)	15	1	4.96	-	.20	4.16E-02
protein localization to peroxisome (GO:0072662)	15	1	4.96	-	.20	4.16E-02
proteasomal ubiquitin-independent protein catabolic process (GO:0010499)	15	1	4.96	-	.20	4.16E-02
mRNA cis splicing, via spliceosome (GO:0045292)	16	1	5.29	-	.19	3.15E-02
peroxisomal transport (GO:0043574)	17	1	5.63	-	.18	2.38E-02
peroxisomal membrane transport (GO:0015919)	17	1	5.63	-	.18	2.38E-02
mitotic sister chromatid segregation (GO:0000070)	35	2	11.58	-	.17	7.32E-04
protein polymerization (GO:0051258)	18	1	5.96	-	.17	1.79E-02
transcription preinitiation complex assembly (GO:0070897)	18	1	5.96	-	.17	1.79E-02
sister chromatid cohesion (GO:0007062)	18	1	5.96	-	.17	1.79E-02
retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum (GO:0006890)	19	1	6.29	-	.16	1.35E-02
DNA strand elongation involved in DNA replication (GO:0006271)	20	1	6.62	-	.15	1.01E-02
DNA strand elongation (GO:0022616)	20	1	6.62	-	.15	1.01E-02
mitotic nuclear division (GO:0140014)	41	2	13.57	-	.15	1.34E-04
sister chromatid segregation (GO:0000819)	42	2	13.90	-	.14	1.00E-04
glutamine biosynthetic process (GO:0006542)	3	0	.99	-	 < 0.01	3.71E-01
maintenance of rDNA (GO:0043007)	1	0	.33	-	 < 0.01	7.18E-01
Golgi to plasma membrane protein transport (GO:0043001)	6	0	1.99	-	 < 0.01	1.37E-01
translation reinitiation (GO:0002188)	3	0	.99	-	 < 0.01	3.71E-01
cytoplasmic translational termination (GO:0002184)	2	0	.66	-	 < 0.01	5.16E-01
cysteine biosynthetic process from serine (GO:0006535)	4	0	1.32	-	 < 0.01	2.66E-01
aspartate catabolic process (GO:0006533)	1	0	.33	-	 < 0.01	7.18E-01
RNA folding (GO:0034337)	1	0	.33	-	 < 0.01	7.18E-01
aspartate biosynthetic process (GO:0006532)	1	0	.33	-	 < 0.01	7.18E-01
aspartate metabolic process (GO:0006531)	2	0	.66	-	 < 0.01	5.16E-01
centrosome separation (GO:0051299)	1	0	.33	-	 < 0.01	7.18E-01
positive regulation of RNA polymerase II transcription preinitiation complex assembly (GO:0045899)	9	0	2.98	-	 < 0.01	5.08E-02
centrosome duplication (GO:0051298)	1	0	.33	-	 < 0.01	7.18E-01
regulation of RNA polymerase II transcription preinitiation complex assembly (GO:0045898)	10	0	3.31	-	 < 0.01	3.65E-02
histone H3-K4 trimethylation (GO:0080182)	1	0	.33	-	 < 0.01	7.18E-01
positive regulation of DNA-dependent DNA replication (GO:2000105)	2	0	.66	-	 < 0.01	5.16E-01
negative regulation of DNA-dependent DNA replication (GO:2000104)	5	0	1.65	-	 < 0.01	1.91E-01
protein alpha-1,2-demannosylation (GO:0036508)	1	0	.33	-	 < 0.01	7.18E-01
protein demannosylation (GO:0036507)	1	0	.33	-	 < 0.01	7.18E-01
negative regulation of histone methylation (GO:0031061)	1	0	.33	-	 < 0.01	7.18E-01
asparagine biosynthetic process (GO:0006529)	2	0	.66	-	 < 0.01	5.16E-01
regulation of histone methylation (GO:0031060)	2	0	.66	-	 < 0.01	5.16E-01
nitrogen catabolite activation of transcription from RNA polymerase II promoter (GO:0001080)	3	0	.99	-	 < 0.01	3.71E-01
regulation of cellular amino acid metabolic process (GO:0006521)	1	0	.33	-	 < 0.01	7.18E-01
regulation of cellular amine metabolic process (GO:0033238)	1	0	.33	-	 < 0.01	7.18E-01
lytic vacuole organization (GO:0080171)	1	0	.33	-	 < 0.01	7.18E-01
negative regulation of histone modification (GO:0031057)	1	0	.33	-	 < 0.01	7.18E-01
nitrogen catabolite regulation of transcription from RNA polymerase II promoter (GO:0001079)	3	0	.99	-	 < 0.01	3.71E-01
histone-threonine phosphorylation (GO:0035405)	1	0	.33	-	 < 0.01	7.18E-01
histone-serine phosphorylation (GO:0035404)	1	0	.33	-	 < 0.01	7.18E-01
protein monoubiquitination (GO:0006513)	6	0	1.99	-	 < 0.01	1.37E-01
negative regulation of Arp2/3 complex-mediated actin nucleation (GO:0034316)	1	0	.33	-	 < 0.01	7.18E-01
negative regulation of sister chromatid cohesion (GO:0045875)	1	0	.33	-	 < 0.01	7.18E-01
positive regulation of cellular component movement (GO:0051272)	1	0	.33	-	 < 0.01	7.18E-01
positive regulation of L-arginine import across plasma membrane (GO:1905589)	1	0	.33	-	 < 0.01	7.18E-01
regulation of cellular component movement (GO:0051270)	1	0	.33	-	 < 0.01	7.18E-01
positive regulation of poly(A)-specific ribonuclease activity (GO:0106248)	1	0	.33	-	 < 0.01	7.18E-01
negative regulation of poly(A)-specific ribonuclease activity (GO:0106247)	1	0	.33	-	 < 0.01	7.18E-01
regulation of poly(A)-specific ribonuclease activity (GO:0106246)	1	0	.33	-	 < 0.01	7.18E-01
clathrin-dependent endocytosis (GO:0072583)	6	0	1.99	-	 < 0.01	1.37E-01
regulation of ascospore formation (GO:0034307)	1	0	.33	-	 < 0.01	7.18E-01
regulation of sexual sporulation (GO:0034306)	1	0	.33	-	 < 0.01	7.18E-01
meiotic spindle checkpoint signaling (GO:0044779)	1	0	.33	-	 < 0.01	7.18E-01
meiotic DNA integrity checkpoint signaling (GO:0044778)	1	0	.33	-	 < 0.01	7.18E-01
protein depolymerization (GO:0051261)	6	0	1.99	-	 < 0.01	1.37E-01
heme transport (GO:0015886)	1	0	.33	-	 < 0.01	7.18E-01
folic acid transport (GO:0015884)	1	0	.33	-	 < 0.01	7.18E-01
FAD transport (GO:0015883)	2	0	.66	-	 < 0.01	5.16E-01
ascospore-type prospore membrane formation (GO:0032120)	1	0	.33	-	 < 0.01	7.18E-01
coenzyme A transport (GO:0015880)	1	0	.33	-	 < 0.01	7.18E-01
cellular response to light stimulus (GO:0071482)	7	0	2.32	-	 < 0.01	9.86E-02
cellular response to X-ray (GO:0071481)	2	0	.66	-	 < 0.01	5.16E-01
fatty-acyl-CoA biosynthetic process (GO:0046949)	1	0	.33	-	 < 0.01	7.18E-01
cellular response to gamma radiation (GO:0071480)	2	0	.66	-	 < 0.01	5.16E-01
mitotic spindle midzone assembly (GO:0051256)	2	0	.66	-	 < 0.01	5.16E-01
spindle midzone assembly (GO:0051255)	2	0	.66	-	 < 0.01	5.16E-01
carnitine transport (GO:0015879)	1	0	.33	-	 < 0.01	7.18E-01
septation initiation signaling (GO:0031028)	1	0	.33	-	 < 0.01	7.18E-01
cellular response to ionizing radiation (GO:0071479)	3	0	.99	-	 < 0.01	3.71E-01
cellular response to radiation (GO:0071478)	10	0	3.31	-	 < 0.01	3.65E-02
cellular hyperosmotic response (GO:0071474)	2	0	.66	-	 < 0.01	5.16E-01
DNA strand elongation involved in cell cycle DNA replication (GO:1902296)	5	0	1.65	-	 < 0.01	1.91E-01
regulation of cellular response to stress (GO:0080135)	9	0	2.98	-	 < 0.01	5.08E-02
positive regulation of response to nutrient levels (GO:0032109)	3	0	.99	-	 < 0.01	3.71E-01
positive regulation of mitotic metaphase/anaphase transition (GO:0045842)	8	0	2.65	-	 < 0.01	7.08E-02
regulation of response to nutrient levels (GO:0032107)	3	0	.99	-	 < 0.01	3.71E-01
positive regulation of mitotic nuclear division (GO:0045840)	8	0	2.65	-	 < 0.01	7.08E-02
positive regulation of response to extracellular stimulus (GO:0032106)	3	0	.99	-	 < 0.01	3.71E-01
regulation of response to extracellular stimulus (GO:0032104)	3	0	.99	-	 < 0.01	3.71E-01
positive regulation of response to external stimulus (GO:0032103)	4	0	1.32	-	 < 0.01	2.66E-01
