




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	human_background.txt (Homo sapiens)
Test Type:	BINOMIAL
Correction:	NONE
GO biological process complete	human_background.txt - REFLIST (16250)	upload_1 (1959)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
positive regulation of mast cell degranulation (GO:0043306)	13	1	1.57	-	.64	5.36E-01
activation of MAPKKK activity (GO:0000185)	13	1	1.57	-	.64	5.36E-01
erythrocyte maturation (GO:0043249)	13	1	1.57	-	.64	5.36E-01
proteasome assembly (GO:0043248)	13	1	1.57	-	.64	5.36E-01
positive regulation of ubiquitin protein ligase activity (GO:1904668)	13	1	1.57	-	.64	5.36E-01
sequestering of extracellular ligand from receptor (GO:0035581)	13	1	1.57	-	.64	5.36E-01
positive regulation of chromatin binding (GO:0035563)	13	1	1.57	-	.64	5.36E-01
regulation of response to osmotic stress (GO:0047484)	13	1	1.57	-	.64	5.36E-01
nucleoside biosynthetic process (GO:0009163)	26	2	3.13	-	.64	3.94E-01
ribonucleoside monophosphate metabolic process (GO:0009161)	52	4	6.27	-	.64	2.50E-01
nucleoside diphosphate catabolic process (GO:0009134)	13	1	1.57	-	.64	5.36E-01
vitamin catabolic process (GO:0009111)	13	1	1.57	-	.64	5.36E-01
nuclear body organization (GO:0030575)	13	1	1.57	-	.64	5.36E-01
protein localization to microtubule (GO:0035372)	13	1	1.57	-	.64	5.36E-01
positive regulation of voltage-gated potassium channel activity (GO:1903818)	13	1	1.57	-	.64	5.36E-01
regulation of protein kinase A signaling (GO:0010738)	26	2	3.13	-	.64	3.94E-01
autophagosome maturation (GO:0097352)	26	2	3.13	-	.64	3.94E-01
positive regulation of muscle cell apoptotic process (GO:0010661)	26	2	3.13	-	.64	3.94E-01
dermatan sulfate metabolic process (GO:0030205)	13	1	1.57	-	.64	5.36E-01
negative regulation of smooth muscle cell migration (GO:0014912)	26	2	3.13	-	.64	3.94E-01
trophoblast giant cell differentiation (GO:0060707)	13	1	1.57	-	.64	5.36E-01
striated muscle cell proliferation (GO:0014855)	13	1	1.57	-	.64	5.36E-01
ventricular trabecula myocardium morphogenesis (GO:0003222)	13	1	1.57	-	.64	5.36E-01
high-density lipoprotein particle assembly (GO:0034380)	13	1	1.57	-	.64	5.36E-01
regulation of tau-protein kinase activity (GO:1902947)	13	1	1.57	-	.64	5.36E-01
negative regulation of alcohol biosynthetic process (GO:1902931)	13	1	1.57	-	.64	5.36E-01
glucose import (GO:0046323)	13	1	1.57	-	.64	5.36E-01
positive regulation of protein polyubiquitination (GO:1902916)	13	1	1.57	-	.64	5.36E-01
Arp2/3 complex-mediated actin nucleation (GO:0034314)	13	1	1.57	-	.64	5.36E-01
positive regulation of meiotic nuclear division (GO:0045836)	13	1	1.57	-	.64	5.36E-01
negative regulation of transcription elongation from RNA polymerase II promoter (GO:0034244)	13	1	1.57	-	.64	5.36E-01
cardiac chamber development (GO:0003205)	157	12	18.93	-	.63	6.16E-02
positive regulation of lipid localization (GO:1905954)	105	8	12.66	-	.63	1.16E-01
cell cycle checkpoint signaling (GO:0000075)	171	13	20.61	-	.63	5.03E-02
mitotic cell cycle checkpoint signaling (GO:0007093)	145	11	17.48	-	.63	6.81E-02
negative regulation of response to DNA damage stimulus (GO:2001021)	66	5	7.96	-	.63	1.95E-01
nucleoside monophosphate metabolic process (GO:0009123)	66	5	7.96	-	.63	1.95E-01
determination of bilateral symmetry (GO:0009855)	119	9	14.35	-	.63	9.32E-02
regulation of protein modification by small protein conjugation or removal (GO:1903320)	225	17	27.12	-	.63	2.52E-02
spindle localization (GO:0051653)	53	4	6.39	-	.63	2.36E-01
response to gamma radiation (GO:0010332)	53	4	6.39	-	.63	2.36E-01
microtubule organizing center organization (GO:0031023)	93	7	11.21	-	.62	1.29E-01
positive regulation of protein modification by small protein conjugation or removal (GO:1903322)	133	10	16.03	-	.62	7.54E-02
regulation of nuclear division (GO:0051783)	120	9	14.47	-	.62	8.83E-02
specification of symmetry (GO:0009799)	120	9	14.47	-	.62	8.83E-02
cholesterol metabolic process (GO:0008203)	120	9	14.47	-	.62	8.83E-02
nuclear envelope organization (GO:0006998)	80	6	9.64	-	.62	1.54E-01
binding of sperm to zona pellucida (GO:0007339)	40	3	4.82	-	.62	2.91E-01
secondary alcohol biosynthetic process (GO:1902653)	40	3	4.82	-	.62	2.91E-01
cholesterol biosynthetic process (GO:0006695)	40	3	4.82	-	.62	2.91E-01
regulation of NMDA receptor activity (GO:2000310)	40	3	4.82	-	.62	2.91E-01
negative regulation of actin filament depolymerization (GO:0030835)	40	3	4.82	-	.62	2.91E-01
regulation of viral transcription (GO:0046782)	40	3	4.82	-	.62	2.91E-01
triglyceride metabolic process (GO:0006641)	67	5	8.08	-	.62	1.84E-01
sterol metabolic process (GO:0016125)	134	10	16.15	-	.62	7.15E-02
axo-dendritic transport (GO:0008088)	67	5	8.08	-	.62	1.84E-01
connective tissue development (GO:0061448)	188	14	22.66	-	.62	3.52E-02
heme biosynthetic process (GO:0006783)	27	2	3.25	-	.61	3.68E-01
regulation of oxidative stress-induced intrinsic apoptotic signaling pathway (GO:1902175)	27	2	3.25	-	.61	3.68E-01
negative regulation of metaphase/anaphase transition of cell cycle (GO:1902100)	27	2	3.25	-	.61	3.68E-01
positive regulation of protein deacetylation (GO:0090312)	27	2	3.25	-	.61	3.68E-01
regulation of monocyte chemotaxis (GO:0090025)	27	2	3.25	-	.61	3.68E-01
phosphatidylcholine acyl-chain remodeling (GO:0036151)	27	2	3.25	-	.61	3.68E-01
establishment of mitotic spindle orientation (GO:0000132)	27	2	3.25	-	.61	3.68E-01
cellular response to acetylcholine (GO:1905145)	27	2	3.25	-	.61	3.68E-01
response to acetylcholine (GO:1905144)	27	2	3.25	-	.61	3.68E-01
dopamine metabolic process (GO:0042417)	27	2	3.25	-	.61	3.68E-01
response to gonadotropin (GO:0034698)	27	2	3.25	-	.61	3.68E-01
ribosome assembly (GO:0042255)	54	4	6.51	-	.61	2.22E-01
execution phase of apoptosis (GO:0097194)	54	4	6.51	-	.61	2.22E-01
plasma lipoprotein particle assembly (GO:0034377)	27	2	3.25	-	.61	3.68E-01
maintenance of protein location (GO:0045185)	95	7	11.45	-	.61	1.16E-01
regulation of dendrite development (GO:0050773)	95	7	11.45	-	.61	1.16E-01
nucleus organization (GO:0006997)	136	10	16.40	-	.61	6.41E-02
regulation of sister chromatid segregation (GO:0033045)	68	5	8.20	-	.61	1.73E-01
negative regulation of blood pressure (GO:0045776)	41	3	4.94	-	.61	2.73E-01
ventral spinal cord development (GO:0021517)	41	3	4.94	-	.61	2.73E-01
centrosome cycle (GO:0007098)	82	6	9.89	-	.61	1.37E-01
regulation of mast cell activation (GO:0033003)	41	3	4.94	-	.61	2.73E-01
negative regulation of type I interferon production (GO:0032480)	41	3	4.94	-	.61	2.73E-01
negative regulation of epithelial cell differentiation (GO:0030857)	41	3	4.94	-	.61	2.73E-01
coronary vasculature development (GO:0060976)	41	3	4.94	-	.61	2.73E-01
response to nicotine (GO:0035094)	41	3	4.94	-	.61	2.73E-01
metaphase plate congression (GO:0051310)	55	4	6.63	-	.60	2.09E-01
regulation of cardiac conduction (GO:1903779)	55	4	6.63	-	.60	2.09E-01
ventricular cardiac muscle tissue development (GO:0003229)	55	4	6.63	-	.60	2.09E-01
regulation of exocytosis (GO:0017157)	193	14	23.27	-	.60	2.69E-02
establishment of chromosome localization (GO:0051303)	69	5	8.32	-	.60	1.63E-01
regulation of microtubule-based process (GO:0032886)	221	16	26.64	-	.60	1.82E-02
regulation of interleukin-8 production (GO:0032677)	83	6	10.01	-	.60	1.29E-01
negative regulation of G2/M transition of mitotic cell cycle (GO:0010972)	97	7	11.69	-	.60	1.03E-01
regulation of protein ubiquitination (GO:0031396)	195	14	23.51	-	.60	2.42E-02
negative regulation of cell cycle G2/M phase transition (GO:1902750)	98	7	11.81	-	.59	9.73E-02
growth hormone receptor signaling pathway via JAK-STAT (GO:0060397)	14	1	1.69	-	.59	4.97E-01
regulation of SMAD protein signal transduction (GO:0060390)	28	2	3.38	-	.59	3.44E-01
post-Golgi vesicle-mediated transport (GO:0006892)	126	9	15.19	-	.59	6.32E-02
negative regulation of activated T cell proliferation (GO:0046007)	14	1	1.69	-	.59	4.97E-01
antigen processing and presentation via MHC class Ib (GO:0002475)	14	1	1.69	-	.59	4.97E-01
regulation of extrinsic apoptotic signaling pathway in absence of ligand (GO:2001239)	42	3	5.06	-	.59	2.56E-01
fatty acid beta-oxidation using acyl-CoA oxidase (GO:0033540)	14	1	1.69	-	.59	4.97E-01
dentate gyrus development (GO:0021542)	14	1	1.69	-	.59	4.97E-01
neuronal action potential (GO:0019228)	28	2	3.38	-	.59	3.44E-01
cell redox homeostasis (GO:0045454)	42	3	5.06	-	.59	2.56E-01
positive regulation of phospholipid transport (GO:2001140)	14	1	1.69	-	.59	4.97E-01
activation of transmembrane receptor protein tyrosine kinase activity (GO:0007171)	14	1	1.69	-	.59	4.97E-01
glycosylceramide metabolic process (GO:0006677)	14	1	1.69	-	.59	4.97E-01
formation of cytoplasmic translation initiation complex (GO:0001732)	14	1	1.69	-	.59	4.97E-01
endosome organization (GO:0007032)	70	5	8.44	-	.59	1.54E-01
negative regulation of cardiac muscle cell proliferation (GO:0060044)	14	1	1.69	-	.59	4.97E-01
autophagy of nucleus (GO:0044804)	14	1	1.69	-	.59	4.97E-01
negative regulation of chromosome segregation (GO:0051985)	28	2	3.38	-	.59	3.44E-01
positive regulation of synaptic transmission, glutamatergic (GO:0051968)	28	2	3.38	-	.59	3.44E-01
regulation of fibrinolysis (GO:0051917)	14	1	1.69	-	.59	4.97E-01
cellular response to gamma radiation (GO:0071480)	28	2	3.38	-	.59	3.44E-01
production of small RNA involved in gene silencing by RNA (GO:0070918)	28	2	3.38	-	.59	3.44E-01
regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator (GO:1902165)	14	1	1.69	-	.59	4.97E-01
medium-chain fatty acid metabolic process (GO:0051791)	14	1	1.69	-	.59	4.97E-01
apoptotic DNA fragmentation (GO:0006309)	14	1	1.69	-	.59	4.97E-01
glycosyl compound biosynthetic process (GO:1901659)	28	2	3.38	-	.59	3.44E-01
negative regulation of nitric oxide biosynthetic process (GO:0045019)	14	1	1.69	-	.59	4.97E-01
DNA-dependent DNA replication maintenance of fidelity (GO:0045005)	42	3	5.06	-	.59	2.56E-01
fatty acid derivative catabolic process (GO:1901569)	14	1	1.69	-	.59	4.97E-01
positive regulation of brown fat cell differentiation (GO:0090336)	14	1	1.69	-	.59	4.97E-01
Rab protein signal transduction (GO:0032482)	14	1	1.69	-	.59	4.97E-01
regulation of histone H3-K4 methylation (GO:0051569)	28	2	3.38	-	.59	3.44E-01
negative regulation of chromosome separation (GO:1905819)	28	2	3.38	-	.59	3.44E-01
response to interleukin-15 (GO:0070672)	14	1	1.69	-	.59	4.97E-01
negative regulation of stress fiber assembly (GO:0051497)	28	2	3.38	-	.59	3.44E-01
amino sugar metabolic process (GO:0006040)	42	3	5.06	-	.59	2.56E-01
negative regulation of cytosolic calcium ion concentration (GO:0051481)	14	1	1.69	-	.59	4.97E-01
resolution of meiotic recombination intermediates (GO:0000712)	14	1	1.69	-	.59	4.97E-01
axonal transport (GO:0098930)	56	4	6.75	-	.59	1.96E-01
lipid digestion (GO:0044241)	14	1	1.69	-	.59	4.97E-01
digestive tract morphogenesis (GO:0048546)	42	3	5.06	-	.59	2.56E-01
negative regulation of behavior (GO:0048521)	14	1	1.69	-	.59	4.97E-01
enteric nervous system development (GO:0048484)	14	1	1.69	-	.59	4.97E-01
regulation of lipoprotein metabolic process (GO:0050746)	14	1	1.69	-	.59	4.97E-01
postsynaptic cytoskeleton organization (GO:0099188)	14	1	1.69	-	.59	4.97E-01
regulation of G0 to G1 transition (GO:0070316)	42	3	5.06	-	.59	2.56E-01
response to fungus (GO:0009620)	56	4	6.75	-	.59	1.96E-01
skeletal muscle tissue regeneration (GO:0043403)	28	2	3.38	-	.59	3.44E-01
cellular response to increased oxygen levels (GO:0036295)	14	1	1.69	-	.59	4.97E-01
response to exogenous dsRNA (GO:0043330)	42	3	5.06	-	.59	2.56E-01
regulation of cardiocyte differentiation (GO:1905207)	28	2	3.38	-	.59	3.44E-01
insulin-like growth factor receptor signaling pathway (GO:0048009)	14	1	1.69	-	.59	4.97E-01
relaxation of cardiac muscle (GO:0055119)	14	1	1.69	-	.59	4.97E-01
regulation of vascular permeability (GO:0043114)	42	3	5.06	-	.59	2.56E-01
negative regulation of microtubule polymerization (GO:0031115)	14	1	1.69	-	.59	4.97E-01
calcineurin-mediated signaling (GO:0097720)	14	1	1.69	-	.59	4.97E-01
fatty acid homeostasis (GO:0055089)	14	1	1.69	-	.59	4.97E-01
dsRNA processing (GO:0031050)	28	2	3.38	-	.59	3.44E-01
superoxide anion generation (GO:0042554)	14	1	1.69	-	.59	4.97E-01
regulation of mitochondrial gene expression (GO:0062125)	28	2	3.38	-	.59	3.44E-01
negative regulation of nitric oxide metabolic process (GO:1904406)	14	1	1.69	-	.59	4.97E-01
positive regulation of ruffle assembly (GO:1900029)	14	1	1.69	-	.59	4.97E-01
regulation of receptor clustering (GO:1903909)	14	1	1.69	-	.59	4.97E-01
positive regulation of protein dephosphorylation (GO:0035307)	42	3	5.06	-	.59	2.56E-01
negative regulation of myotube differentiation (GO:0010832)	14	1	1.69	-	.59	4.97E-01
cellular modified amino acid biosynthetic process (GO:0042398)	42	3	5.06	-	.59	2.56E-01
positive regulation of ERAD pathway (GO:1904294)	14	1	1.69	-	.59	4.97E-01
programmed necrotic cell death (GO:0097300)	28	2	3.38	-	.59	3.44E-01
axonal transport of mitochondrion (GO:0019896)	14	1	1.69	-	.59	4.97E-01
sperm-egg recognition (GO:0035036)	56	4	6.75	-	.59	1.96E-01
chondrocyte differentiation involved in endochondral bone morphogenesis (GO:0003413)	14	1	1.69	-	.59	4.97E-01
neurotransmitter metabolic process (GO:0042133)	28	2	3.38	-	.59	3.44E-01
positive regulation of vascular endothelial growth factor production (GO:0010575)	28	2	3.38	-	.59	3.44E-01
regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis (GO:1903587)	14	1	1.69	-	.59	4.97E-01
establishment of protein localization to postsynaptic membrane (GO:1903540)	14	1	1.69	-	.59	4.97E-01
positive regulation of inositol phosphate biosynthetic process (GO:0060732)	14	1	1.69	-	.59	4.97E-01
positive regulation of smooth muscle contraction (GO:0045987)	28	2	3.38	-	.59	3.44E-01
regulation of T-helper 1 type immune response (GO:0002825)	28	2	3.38	-	.59	3.44E-01
regulation of dendritic cell cytokine production (GO:0002730)	14	1	1.69	-	.59	4.97E-01
negative regulation of membrane potential (GO:0045837)	14	1	1.69	-	.59	4.97E-01
pyrimidine-containing compound transmembrane transport (GO:0072531)	14	1	1.69	-	.59	4.97E-01
ERAD pathway (GO:0036503)	85	6	10.25	-	.59	1.15E-01
protein localization to cell junction (GO:1902414)	71	5	8.56	-	.58	1.45E-01
organic hydroxy compound catabolic process (GO:1901616)	71	5	8.56	-	.58	1.45E-01
chromosome localization (GO:0050000)	71	5	8.56	-	.58	1.45E-01
determination of left/right symmetry (GO:0007368)	114	8	13.74	-	.58	6.96E-02
cortical cytoskeleton organization (GO:0030865)	57	4	6.87	-	.58	1.85E-01
positive regulation of calcium ion transport into cytosol (GO:0010524)	57	4	6.87	-	.58	1.85E-01
chaperone-mediated protein folding (GO:0061077)	57	4	6.87	-	.58	1.85E-01
positive regulation of protein acetylation (GO:1901985)	43	3	5.18	-	.58	2.40E-01
regulation of organelle assembly (GO:1902115)	172	12	20.74	-	.58	2.72E-02
positive regulation of purine nucleotide metabolic process (GO:1900544)	43	3	5.18	-	.58	2.40E-01
positive regulation of organ growth (GO:0046622)	43	3	5.18	-	.58	2.40E-01
positive regulation of nucleotide metabolic process (GO:0045981)	43	3	5.18	-	.58	2.40E-01
immunoglobulin mediated immune response (GO:0016064)	72	5	8.68	-	.58	1.36E-01
arachidonic acid metabolic process (GO:0019369)	58	4	6.99	-	.57	1.73E-01
regulation of membrane repolarization (GO:0060306)	29	2	3.50	-	.57	3.21E-01
regulation of B cell differentiation (GO:0045577)	29	2	3.50	-	.57	3.21E-01
protein demethylation (GO:0006482)	29	2	3.50	-	.57	3.21E-01
Schwann cell development (GO:0014044)	29	2	3.50	-	.57	3.21E-01
response to angiotensin (GO:1990776)	29	2	3.50	-	.57	3.21E-01
endosome transport via multivesicular body sorting pathway (GO:0032509)	29	2	3.50	-	.57	3.21E-01
acetyl-CoA metabolic process (GO:0006084)	29	2	3.50	-	.57	3.21E-01
negative regulation of antigen receptor-mediated signaling pathway (GO:0050858)	29	2	3.50	-	.57	3.21E-01
negative regulation of lymphocyte apoptotic process (GO:0070229)	29	2	3.50	-	.57	3.21E-01
granulocyte differentiation (GO:0030851)	29	2	3.50	-	.57	3.21E-01
TRIF-dependent toll-like receptor signaling pathway (GO:0035666)	29	2	3.50	-	.57	3.21E-01
regulation of circadian rhythm (GO:0042752)	116	8	13.98	-	.57	6.19E-02
response to interferon-beta (GO:0035456)	29	2	3.50	-	.57	3.21E-01
membrane depolarization during action potential (GO:0086010)	29	2	3.50	-	.57	3.21E-01
positive regulation of histone acetylation (GO:0035066)	29	2	3.50	-	.57	3.21E-01
protein dealkylation (GO:0008214)	29	2	3.50	-	.57	3.21E-01
phosphatidylethanolamine metabolic process (GO:0046337)	29	2	3.50	-	.57	3.21E-01
protein folding (GO:0006457)	205	14	24.71	-	.57	1.38E-02
neural tube closure (GO:0001843)	88	6	10.61	-	.57	9.56E-02
response to progesterone (GO:0032570)	44	3	5.30	-	.57	2.24E-01
regulation of viral process (GO:0050792)	176	12	21.22	-	.57	2.16E-02
receptor clustering (GO:0043113)	44	3	5.30	-	.57	2.24E-01
positive regulation of histone modification (GO:0031058)	88	6	10.61	-	.57	9.56E-02
maturation of SSU-rRNA (GO:0030490)	44	3	5.30	-	.57	2.24E-01
positive regulation of organelle assembly (GO:1902117)	59	4	7.11	-	.56	1.62E-01
exocytic process (GO:0140029)	59	4	7.11	-	.56	1.62E-01
negative regulation of cell-substrate adhesion (GO:0010812)	59	4	7.11	-	.56	1.62E-01
negative regulation of secretion by cell (GO:1903531)	134	9	16.15	-	.56	3.95E-02
response to UV-C (GO:0010225)	15	1	1.81	-	.55	4.60E-01
positive regulation of digestive system process (GO:0060456)	15	1	1.81	-	.55	4.60E-01
pyrimidine nucleoside biosynthetic process (GO:0046134)	15	1	1.81	-	.55	4.60E-01
complement activation, alternative pathway (GO:0006957)	15	1	1.81	-	.55	4.60E-01
cerebellar Purkinje cell layer morphogenesis (GO:0021692)	15	1	1.81	-	.55	4.60E-01
AMP metabolic process (GO:0046033)	15	1	1.81	-	.55	4.60E-01
cellular copper ion homeostasis (GO:0006878)	15	1	1.81	-	.55	4.60E-01
metanephric nephron tubule development (GO:0072234)	15	1	1.81	-	.55	4.60E-01
porphyrin-containing compound biosynthetic process (GO:0006779)	30	2	3.62	-	.55	3.00E-01
sphingosine metabolic process (GO:0006670)	15	1	1.81	-	.55	4.60E-01
phosphatidylethanolamine biosynthetic process (GO:0006646)	15	1	1.81	-	.55	4.60E-01
regulation of integrin-mediated signaling pathway (GO:2001044)	15	1	1.81	-	.55	4.60E-01
positive regulation of endothelial cell chemotaxis (GO:2001028)	15	1	1.81	-	.55	4.60E-01
sulfate transmembrane transport (GO:1902358)	15	1	1.81	-	.55	4.60E-01
negative regulation of DNA-templated transcription, elongation (GO:0032785)	15	1	1.81	-	.55	4.60E-01
collagen-activated signaling pathway (GO:0038065)	15	1	1.81	-	.55	4.60E-01
positive regulation of granulocyte macrophage colony-stimulating factor production (GO:0032725)	15	1	1.81	-	.55	4.60E-01
epithelial cell maturation (GO:0002070)	15	1	1.81	-	.55	4.60E-01
negative regulation of viral release from host cell (GO:1902187)	15	1	1.81	-	.55	4.60E-01
regulation of gene expression by genetic imprinting (GO:0006349)	15	1	1.81	-	.55	4.60E-01
cellular response to ethanol (GO:0071361)	15	1	1.81	-	.55	4.60E-01
response to redox state (GO:0051775)	15	1	1.81	-	.55	4.60E-01
tetrapyrrole biosynthetic process (GO:0033014)	30	2	3.62	-	.55	3.00E-01
modulation by symbiont of host programmed cell death (GO:0052040)	15	1	1.81	-	.55	4.60E-01
histone H3-K9 methylation (GO:0051567)	15	1	1.81	-	.55	4.60E-01
energy reserve metabolic process (GO:0006112)	60	4	7.23	-	.55	1.52E-01
regulation of protein autophosphorylation (GO:0031952)	45	3	5.42	-	.55	2.10E-01
alanine transport (GO:0032328)	15	1	1.81	-	.55	4.60E-01
negative regulation of meiotic cell cycle (GO:0051447)	15	1	1.81	-	.55	4.60E-01
negative regulation of voltage-gated calcium channel activity (GO:1901386)	15	1	1.81	-	.55	4.60E-01
